Gen,Domain_idpc_ndu_302_12_4930,Node_idpc_ndu_302_12_4930,Edge_idpc_ndu_302_12_4930,Domain_idpc_ndu_1002_12_82252,Node_idpc_ndu_1002_12_82252,Edge_idpc_ndu_1002_12_82252,Domain_idpc_ndu_1506_9_130556,Node_idpc_ndu_1506_9_130556,Edge_idpc_ndu_1506_9_130556,Domain_idpc_ndu_2494_12_276620,Node_idpc_ndu_2494_12_276620,Edge_idpc_ndu_2494_12_276620,Domain_idpc_ndu_2715_22_592246,Node_idpc_ndu_2715_22_592246,Edge_idpc_ndu_2715_22_592246
0,0.333333333,0.191169978,0.135469912,0.288888889,0.124750499,0.103187764,0.392592593,0.191190792,0.360136136,0.316666667,0.163646084,0.303229701,0.163636364,0.064775936,0.026006198
1,0.394444444,0.256512141,0.216470588,0.305555556,0.138389887,0.113150643,0.451851852,0.257459053,0.489152548,0.333333333,0.181555734,0.337807823,0.190909091,0.089109883,0.036317116
2,0.327777778,0.186754967,0.143340095,0.377777778,0.210512309,0.17833001,0.414814815,0.216157592,0.408501588,0.388888889,0.238706228,0.441998168,0.2,0.09893186,0.041438074
3,0.388888889,0.237748344,0.165584855,0.327777778,0.160944777,0.134316491,0.377777778,0.174324923,0.327173014,0.305555556,0.151617215,0.280988841,0.245454545,0.140159607,0.059988023
4,0.338888889,0.188741722,0.135442867,0.388888889,0.222687957,0.188887808,0.488888889,0.299380257,0.57510034,0.377777778,0.227479284,0.422681175,0.245454545,0.138391651,0.058766684
5,0.333333333,0.192935982,0.106747803,0.377777778,0.212641384,0.183095852,0.437037037,0.236874723,0.44215458,0.333333333,0.177439187,0.32541995,0.254545455,0.146617557,0.062588406
6,0.322222222,0.182119205,0.142663962,0.383333333,0.215635396,0.181690415,0.466666667,0.271890217,0.517333047,0.344444444,0.185298049,0.334197334,0.224242424,0.122946593,0.053128824
7,0.344444444,0.206622517,0.133941853,0.361111111,0.189886893,0.156838334,0.525925926,0.342629482,0.664485738,0.361111111,0.209248864,0.38950088,0.242424242,0.137237569,0.059213232
8,0.316666667,0.172406181,0.107762001,0.344444444,0.177245509,0.149069526,0.459259259,0.266578132,0.507295465,0.377777778,0.226570436,0.4203791,0.224242424,0.122701044,0.053000611
9,0.316666667,0.173730684,0.127423935,0.327777778,0.156021291,0.126585777,0.414814815,0.214209827,0.402410715,0.366666667,0.217321572,0.407725881,0.215151515,0.111823204,0.046951886
10,0.327777778,0.18807947,0.103177823,0.333333333,0.162608117,0.131867108,0.444444444,0.254670208,0.495494143,0.333333333,0.179043037,0.329950353,0.221212121,0.118158379,0.050012776
11,0.327777778,0.180794702,0.105801217,0.366666667,0.200266134,0.171746989,0.4,0.202833112,0.388644975,0.338888889,0.181903234,0.330152797,0.215151515,0.109932474,0.045422904
12,0.338888889,0.196688742,0.14066261,0.3,0.136061211,0.113370293,0.42962963,0.233111996,0.443130917,0.288888889,0.130419674,0.234654279,0.178787879,0.079410681,0.032467139
13,0.305555556,0.155408389,0.104881677,0.35,0.18576181,0.156931544,0.407407407,0.209561753,0.403031139,0.338888889,0.183881315,0.336758248,0.163636364,0.065880909,0.027089531
14,0.327777778,0.185430464,0.152887086,0.327777778,0.161144378,0.132799202,0.422222222,0.223992917,0.426571484,0.355555556,0.200080192,0.367416914,0.23030303,0.125377532,0.052972807
15,0.288888889,0.141942605,0.092968222,0.316666667,0.147238856,0.11931949,0.466666667,0.2770695,0.539002931,0.322222222,0.164341085,0.296355771,0.203030303,0.102934316,0.043603728
16,0.344444444,0.198013245,0.144367816,0.311111111,0.150365935,0.129377199,0.392592593,0.197786631,0.386480386,0.355555556,0.20422347,0.379250235,0.23030303,0.126654389,0.054030364
17,0.333333333,0.186975717,0.131034483,0.333333333,0.16247505,0.131700952,0.385185185,0.184019478,0.347516774,0.361111111,0.211280406,0.395455137,0.254545455,0.148115408,0.06342736
18,0.316666667,0.173289183,0.11392833,0.338888889,0.174251497,0.146012255,0.422222222,0.228242585,0.441183349,0.372222222,0.221331195,0.412134095,0.209090909,0.105267035,0.043779781
19,0.294444444,0.143267108,0.086382691,0.294444444,0.126679973,0.100121578,0.392592593,0.187428066,0.34462555,0.366666667,0.217294841,0.408293447,0.196969697,0.094487416,0.039100869
20,0.322222222,0.178145695,0.118390805,0.327777778,0.164604125,0.140190309,0.4,0.199601594,0.376266123,0.383333333,0.231488907,0.429069,0.187878788,0.087759362,0.036551816
21,0.333333333,0.189403974,0.134685598,0.316666667,0.150765136,0.125230592,0.4,0.200044267,0.379909515,0.311111111,0.154611067,0.281362398,0.212121212,0.111184776,0.047762923
22,0.3,0.15584989,0.093657877,0.322222222,0.157751164,0.133253903,0.42962963,0.234617087,0.450209872,0.338888889,0.19024325,0.359519437,0.187878788,0.089748312,0.038272497
23,0.333333333,0.182560706,0.091534821,0.311111111,0.14843646,0.127061551,0.407407407,0.210712705,0.406724573,0.333333333,0.183614007,0.345679271,0.196969697,0.097311234,0.041382354
24,0.35,0.204415011,0.153617309,0.311111111,0.145442448,0.119872262,0.42962963,0.231208499,0.435577581,0.333333333,0.180165731,0.33511508,0.196969697,0.093038674,0.037903957
25,0.311111111,0.169757174,0.130006761,0.322222222,0.152628077,0.125698261,0.37037037,0.166976538,0.311036388,0.316666667,0.160304731,0.29138674,0.221212121,0.119116022,0.050651025
26,0.344444444,0.202428256,0.139675456,0.372222222,0.203193613,0.171136669,0.37037037,0.164718902,0.300596424,0.327777778,0.17329591,0.318093413,0.218181818,0.115162676,0.048298399
27,0.333333333,0.186975717,0.110060852,0.316666667,0.15156354,0.12522654,0.385185185,0.182160248,0.340348969,0.294444444,0.137048917,0.250455981,0.215151515,0.110448128,0.04627863
28,0.377777778,0.232450331,0.157133198,0.311111111,0.148369927,0.122742304,0.355555556,0.154183267,0.296810053,0.35,0.196578455,0.36404743,0.203030303,0.102320442,0.043350567
29,0.311111111,0.167108168,0.100689655,0.305555556,0.138656021,0.11490055,0.414814815,0.219344843,0.423122134,0.35,0.19641807,0.361481937,0.239393939,0.134683855,0.057702824
30,0.316666667,0.174172185,0.133279243,0.344444444,0.174584165,0.143868437,0.37037037,0.164807437,0.303859391,0.333333333,0.180753809,0.335962934,0.190909091,0.09043585,0.037788689
31,0.394444444,0.25584989,0.205138607,0.344444444,0.176912841,0.14634943,0.414814815,0.21164232,0.390335692,0.338888889,0.187543438,0.349799484,0.2,0.100061387,0.042541556
32,0.338888889,0.195584989,0.130709939,0.288888889,0.120625416,0.095867172,0.4,0.202346171,0.390032885,0.322222222,0.168110131,0.308457571,0.215151515,0.110178023,0.045644997
33,0.294444444,0.150772627,0.092102772,0.35,0.182035928,0.153552497,0.42962963,0.230810093,0.432409592,0.316666667,0.162737236,0.298991396,0.193939394,0.095469613,0.040920608
34,0.333333333,0.190066225,0.122542258,0.311111111,0.147305389,0.122886576,0.392592593,0.194289509,0.372498647,0.333333333,0.178802459,0.328978864,0.190909091,0.091319828,0.038737619
35,0.327777778,0.187196468,0.133306288,0.35,0.184231537,0.153771337,0.37037037,0.168747233,0.319069722,0.333333333,0.179524191,0.331217314,0.196969697,0.098023327,0.04209377
36,0.35,0.208388521,0.136362407,0.3,0.132934132,0.109492778,0.414814815,0.222532094,0.438978931,0.344444444,0.190082866,0.351118261,0.181818182,0.081817066,0.033883555
37,0.344444444,0.198675497,0.13326572,0.333333333,0.16506986,0.136228501,0.377777778,0.177822045,0.340918329,0.327777778,0.175621492,0.326363724,0.181818182,0.083560467,0.03522489
38,0.327777778,0.181898455,0.133766058,0.327777778,0.161077844,0.134793075,0.422222222,0.225719345,0.430774023,0.35,0.198342689,0.368619767,0.184848485,0.08631062,0.036260383
39,0.322222222,0.173068433,0.101541582,0.344444444,0.177910845,0.148169852,0.414814815,0.214741036,0.402749267,0.338888889,0.185431703,0.344002844,0.227272727,0.123216697,0.052117532
40,0.333333333,0.185871965,0.127734956,0.277777778,0.113972056,0.095611859,0.392592593,0.196768482,0.383663205,0.327777778,0.174979952,0.324670185,0.181818182,0.085033763,0.036796534
41,0.322222222,0.177704194,0.16045977,0.322222222,0.156220892,0.130693479,0.414814815,0.218326693,0.41670956,0.333333333,0.180112269,0.334229629,0.203030303,0.10121547,0.042446889
42,0.366666667,0.219205298,0.163867478,0.327777778,0.16340652,0.136694548,0.392592593,0.191412129,0.36005903,0.344444444,0.188532478,0.342533921,0.193939394,0.096009822,0.041363442
43,0.366666667,0.221633554,0.165300879,0.322222222,0.158150366,0.13271734,0.4,0.200221337,0.376433612,0.327777778,0.176610532,0.329328802,0.196969697,0.098416206,0.042333422
44,0.35,0.202428256,0.155118323,0.338888889,0.172987359,0.144505503,0.451851852,0.260779106,0.504407815,0.311111111,0.15862069,0.296803075,0.190909091,0.086899939,0.034483306
45,0.338888889,0.190949227,0.135023665,0.316666667,0.153892216,0.132221304,0.422222222,0.221513944,0.414175271,0.377777778,0.222213312,0.404230352,0.193939394,0.092498465,0.038128976
46,0.366666667,0.224503311,0.144394861,0.327777778,0.162142382,0.136292532,0.4,0.200177069,0.383042781,0.361111111,0.207511361,0.378798834,0.206060606,0.104014733,0.043841579
47,0.322222222,0.180573951,0.118985801,0.361111111,0.196141051,0.167793286,0.42962963,0.235768039,0.456749594,0.372222222,0.218765036,0.405030005,0.2,0.099324739,0.042311134
48,0.322222222,0.179249448,0.121027721,0.305555556,0.136926148,0.110746649,0.4,0.199601594,0.375645189,0.311111111,0.160705694,0.303559155,0.248484848,0.144235727,0.06250522
49,0.327777778,0.184547461,0.145787694,0.322222222,0.148769128,0.117853264,0.414814815,0.218016822,0.417404536,0.333333333,0.176289762,0.320090859,0.175757576,0.077028852,0.031981305
50,0.327777778,0.183002208,0.147180527,0.327777778,0.159081836,0.132134578,0.377777778,0.177600708,0.337367873,0.316666667,0.155947608,0.276470007,0.196969697,0.097262124,0.041824737
51,0.377777778,0.236423841,0.191115619,0.322222222,0.159680639,0.136457877,0.437037037,0.241080124,0.459532053,0.338888889,0.186180166,0.343189695,0.212121212,0.111233886,0.047816279
52,0.333333333,0.190949227,0.118918188,0.311111111,0.144577512,0.118898831,0.466666667,0.273660912,0.523936599,0.372222222,0.224378508,0.421114405,0.190909091,0.090141191,0.037513241
53,0.327777778,0.178145695,0.118634212,0.316666667,0.154823686,0.129967255,0.37037037,0.166755201,0.310134093,0.305555556,0.148944133,0.270670716,0.209090909,0.104996931,0.043649542
54,0.372222222,0.229139073,0.156105477,0.322222222,0.160479042,0.13766798,0.392592593,0.193359894,0.366001818,0.344444444,0.193985565,0.361826573,0.172727273,0.074475138,0.031198297
55,0.316666667,0.173509934,0.1343881,0.288888889,0.126746507,0.10725494,0.422222222,0.223151837,0.424772001,0.327777778,0.17329591,0.319055503,0.206060606,0.103818293,0.04385475
56,0.361111111,0.223620309,0.185179175,0.361111111,0.19760479,0.170236995,0.42962963,0.233244799,0.444493295,0.35,0.198770382,0.37013424,0.221212121,0.119656231,0.051529151
57,0.322222222,0.173951435,0.104178499,0.338888889,0.170858283,0.141143478,0.385185185,0.180256751,0.333300142,0.333333333,0.181529003,0.337925433,0.227272727,0.122160835,0.052164247
